Comunidades Autónomas, Provincias y Municipios;Consumo eléctrico;Total
33012 Cangas de Onís;Viviendas con cosumo entre 7.001 y 8.000 kwh;42
33012 Cangas de Onís;Viviendas con cosumo entre 8.001 y 9.000 kwh;27
33012 Cangas de Onís;Viviendas con cosumo entre 9.001 y 10.000 kwh;18
33012 Cangas de Onís;Viviendas con consumo mayor de 10.000 kwh;70
33014 Carreño;Viviendas totales;7.239
33014 Carreño;Viviendas vacías;873
33014 Carreño;Mediana consumo anual;2.269
33014 Carreño;Viviendas con bajo consumo;325
33014 Carreño;Viviendas de uso esporádico;920
33014 Carreño;Viviendas de uso esporádico (entre 251 y 500 kwh);499
33014 Carreño;Viviendas de uso esporádico (entre 501 y 750 kwh);421
33014 Carreño;Viviendas con cosumo entre 751 y 1.000 kwh;384
33014 Carreño;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.390
33014 Carreño;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.111
33014 Carreño;Viviendas con cosumo entre 3.001 y 4.000 kwh;740
33014 Carreño;Viviendas con cosumo entre 4.001 y 5.000 kwh;485
33014 Carreño;Viviendas con cosumo entre 5.001 y 6.000 kwh;348
33014 Carreño;Viviendas con cosumo entre 6.001 y 7.000 kwh;224
33014 Carreño;Viviendas con cosumo entre 7.001 y 8.000 kwh;153
33014 Carreño;Viviendas con cosumo entre 8.001 y 9.000 kwh;95
33014 Carreño;Viviendas con cosumo entre 9.001 y 10.000 kwh;73
33014 Carreño;Viviendas con consumo mayor de 10.000 kwh;118
33015 Caso;Viviendas totales;1.864
33015 Caso;Viviendas vacías;697
33015 Caso;Mediana consumo anual;1.109
33015 Caso;Viviendas con bajo consumo;141
33015 Caso;Viviendas de uso esporádico;320
33015 Caso;Viviendas de uso esporádico (entre 251 y 500 kwh);165
33015 Caso;Viviendas de uso esporádico (entre 501 y 750 kwh);155
33015 Caso;Viviendas con cosumo entre 751 y 1.000 kwh;147
33015 Caso;Viviendas con cosumo entre 1.001 y 2.000 kwh;297
33015 Caso;Viviendas con cosumo entre 2.001 y 3.000 kwh;146
33015 Caso;Viviendas con cosumo entre 3.001 y 4.000 kwh;50
33015 Caso;Viviendas con cosumo entre 4.001 y 5.000 kwh;22
33015 Caso;Viviendas con cosumo entre 5.001 y 6.000 kwh;10
33015 Caso;Viviendas con cosumo entre 6.001 y 7.000 kwh;13
33015 Caso;Viviendas con cosumo entre 7.001 y 8.000 kwh;3
33015 Caso;Viviendas con cosumo entre 8.001 y 9.000 kwh;2
33015 Caso;Viviendas con cosumo entre 9.001 y 10.000 kwh;3
33015 Caso;Viviendas con consumo mayor de 10.000 kwh;13
33016 Castrillón;Viviendas totales;13.184
33016 Castrillón;Viviendas vacías;827
33016 Castrillón;Mediana consumo anual;1.933
33016 Castrillón;Viviendas con bajo consumo;485
33016 Castrillón;Viviendas de uso esporádico;1.520
33016 Castrillón;Viviendas de uso esporádico (entre 251 y 500 kwh);733
33016 Castrillón;Viviendas de uso esporádico (entre 501 y 750 kwh);787
33016 Castrillón;Viviendas con cosumo entre 751 y 1.000 kwh;851
33016 Castrillón;Viviendas con cosumo entre 1.001 y 2.000 kwh;3.836
33016 Castrillón;Viviendas con cosumo entre 2.001 y 3.000 kwh;2.731
33016 Castrillón;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.340
33016 Castrillón;Viviendas con cosumo entre 4.001 y 5.000 kwh;650
33016 Castrillón;Viviendas con cosumo entre 5.001 y 6.000 kwh;371
33016 Castrillón;Viviendas con cosumo entre 6.001 y 7.000 kwh;201
33016 Castrillón;Viviendas con cosumo entre 7.001 y 8.000 kwh;113
33016 Castrillón;Viviendas con cosumo entre 8.001 y 9.000 kwh;78
33016 Castrillón;Viviendas con cosumo entre 9.001 y 10.000 kwh;41
33016 Castrillón;Viviendas con consumo mayor de 10.000 kwh;140
33017 Castropol;Viviendas totales;2.576
33017 Castropol;Viviendas vacías;623
33017 Castropol;Mediana consumo anual;1.951
33017 Castropol;Viviendas con bajo consumo;153
33017 Castropol;Viviendas de uso esporádico;361
33017 Castropol;Viviendas de uso esporádico (entre 251 y 500 kwh);193
33017 Castropol;Viviendas de uso esporádico (entre 501 y 750 kwh);168
33017 Castropol;Viviendas con cosumo entre 751 y 1.000 kwh;120
33017 Castropol;Viviendas con cosumo entre 1.001 y 2.000 kwh;439
33017 Castropol;Viviendas con cosumo entre 2.001 y 3.000 kwh;313
33017 Castropol;Viviendas con cosumo entre 3.001 y 4.000 kwh;232
33017 Castropol;Viviendas con cosumo entre 4.001 y 5.000 kwh;142
33017 Castropol;Viviendas con cosumo entre 5.001 y 6.000 kwh;66
33017 Castropol;Viviendas con cosumo entre 6.001 y 7.000 kwh;37
33017 Castropol;Viviendas con cosumo entre 7.001 y 8.000 kwh;27
33017 Castropol;Viviendas con cosumo entre 8.001 y 9.000 kwh;18
33017 Castropol;Viviendas con cosumo entre 9.001 y 10.000 kwh;9
33017 Castropol;Viviendas con consumo mayor de 10.000 kwh;36
33018 Coaña;Viviendas totales;2.149
33018 Coaña;Viviendas vacías;593
33018 Coaña;Mediana consumo anual;2.401
33018 Coaña;Viviendas con bajo consumo;75
33018 Coaña;Viviendas de uso esporádico;193
33018 Coaña;Viviendas de uso esporádico (entre 251 y 500 kwh);104
33018 Coaña;Viviendas de uso esporádico (entre 501 y 750 kwh);89
33018 Coaña;Viviendas con cosumo entre 751 y 1.000 kwh;70
33018 Coaña;Viviendas con cosumo entre 1.001 y 2.000 kwh;353
33018 Coaña;Viviendas con cosumo entre 2.001 y 3.000 kwh;286
33018 Coaña;Viviendas con cosumo entre 3.001 y 4.000 kwh;241
33018 Coaña;Viviendas con cosumo entre 4.001 y 5.000 kwh;143
33018 Coaña;Viviendas con cosumo entre 5.001 y 6.000 kwh;77
33018 Coaña;Viviendas con cosumo entre 6.001 y 7.000 kwh;29
33018 Coaña;Viviendas con cosumo entre 7.001 y 8.000 kwh;24
33018 Coaña;Viviendas con cosumo entre 8.001 y 9.000 kwh;23
33018 Coaña;Viviendas con cosumo entre 9.001 y 10.000 kwh;10
33018 Coaña;Viviendas con consumo mayor de 10.000 kwh;32
33019 Colunga;Viviendas totales;4.322
33019 Colunga;Viviendas vacías;743
33019 Colunga;Mediana consumo anual;1.447
33019 Colunga;Viviendas con bajo consumo;354
33019 Colunga;Viviendas de uso esporádico;887
33019 Colunga;Viviendas de uso esporádico (entre 251 y 500 kwh);484
33019 Colunga;Viviendas de uso esporádico (entre 501 y 750 kwh);403
33019 Colunga;Viviendas con cosumo entre 751 y 1.000 kwh;282
33019 Colunga;Viviendas con cosumo entre 1.001 y 2.000 kwh;888
33019 Colunga;Viviendas con cosumo entre 2.001 y 3.000 kwh;462
33019 Colunga;Viviendas con cosumo entre 3.001 y 4.000 kwh;289
33019 Colunga;Viviendas con cosumo entre 4.001 y 5.000 kwh;130
33019 Colunga;Viviendas con cosumo entre 5.001 y 6.000 kwh;108
33019 Colunga;Viviendas con cosumo entre 6.001 y 7.000 kwh;50
33019 Colunga;Viviendas con cosumo entre 7.001 y 8.000 kwh;26
33019 Colunga;Viviendas con cosumo entre 8.001 y 9.000 kwh;26
33019 Colunga;Viviendas con cosumo entre 9.001 y 10.000 kwh;16
33019 Colunga;Viviendas con consumo mayor de 10.000 kwh;61
33020 Corvera de Asturias;Viviendas totales;8.456
33020 Corvera de Asturias;Viviendas vacías;1.004
33020 Corvera de Asturias;Mediana consumo anual;2.129
33020 Corvera de Asturias;Viviendas con bajo consumo;223
33020 Corvera de Asturias;Viviendas de uso esporádico;675
33020 Corvera de Asturias;Viviendas de uso esporádico (entre 251 y 500 kwh);298
33020 Corvera de Asturias;Viviendas de uso esporádico (entre 501 y 750 kwh);377
33020 Corvera de Asturias;Viviendas con cosumo entre 751 y 1.000 kwh;396
33020 Corvera de Asturias;Viviendas con cosumo entre 1.001 y 2.000 kwh;2.247
33020 Corvera de Asturias;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.781
33020 Corvera de Asturias;Viviendas con cosumo entre 3.001 y 4.000 kwh;986
33020 Corvera de Asturias;Viviendas con cosumo entre 4.001 y 5.000 kwh;502
33020 Corvera de Asturias;Viviendas con cosumo entre 5.001 y 6.000 kwh;259
33020 Corvera de Asturias;Viviendas con cosumo entre 6.001 y 7.000 kwh;144
33020 Corvera de Asturias;Viviendas con cosumo entre 7.001 y 8.000 kwh;93
33020 Corvera de Asturias;Viviendas con cosumo entre 8.001 y 9.000 kwh;52
33020 Corvera de Asturias;Viviendas con cosumo entre 9.001 y 10.000 kwh;27
33020 Corvera de Asturias;Viviendas con consumo mayor de 10.000 kwh;67
33021 Cudillero;Viviendas totales;5.184
33021 Cudillero;Viviendas vacías;1.179
33021 Cudillero;Mediana consumo anual;1.893
33021 Cudillero;Viviendas con bajo consumo;291
33021 Cudillero;Viviendas de uso esporádico;685
33021 Cudillero;Viviendas de uso esporádico (entre 251 y 500 kwh);348
33021 Cudillero;Viviendas de uso esporádico (entre 501 y 750 kwh);337
33021 Cudillero;Viviendas con cosumo entre 751 y 1.000 kwh;300
33021 Cudillero;Viviendas con cosumo entre 1.001 y 2.000 kwh;942
33021 Cudillero;Viviendas con cosumo entre 2.001 y 3.000 kwh;714
33021 Cudillero;Viviendas con cosumo entre 3.001 y 4.000 kwh;428
33021 Cudillero;Viviendas con cosumo entre 4.001 y 5.000 kwh;250
33021 Cudillero;Viviendas con cosumo entre 5.001 y 6.000 kwh;138
33021 Cudillero;Viviendas con cosumo entre 6.001 y 7.000 kwh;107
33021 Cudillero;Viviendas con cosumo entre 7.001 y 8.000 kwh;40
33021 Cudillero;Viviendas con cosumo entre 8.001 y 9.000 kwh;40
33021 Cudillero;Viviendas con cosumo entre 9.001 y 10.000 kwh;21
33021 Cudillero;Viviendas con consumo mayor de 10.000 kwh;49
33023 Franco (El);Viviendas totales;2.609
33023 Franco (El);Viviendas vacías;484
33023 Franco (El);Mediana consumo anual;2.174
33023 Franco (El);Viviendas con bajo consumo;110
33023 Franco (El);Viviendas de uso esporádico;312
33023 Franco (El);Viviendas de uso esporádico (entre 251 y 500 kwh);154
33023 Franco (El);Viviendas de uso esporádico (entre 501 y 750 kwh);158
33023 Franco (El);Viviendas con cosumo entre 751 y 1.000 kwh;125
33023 Franco (El);Viviendas con cosumo entre 1.001 y 2.000 kwh;489
33023 Franco (El);Viviendas con cosumo entre 2.001 y 3.000 kwh;397
33023 Franco (El);Viviendas con cosumo entre 3.001 y 4.000 kwh;267
33023 Franco (El);Viviendas con cosumo entre 4.001 y 5.000 kwh;168
33023 Franco (El);Viviendas con cosumo entre 5.001 y 6.000 kwh;89
33023 Franco (El);Viviendas con cosumo entre 6.001 y 7.000 kwh;57
33023 Franco (El);Viviendas con cosumo entre 7.001 y 8.000 kwh;31
33023 Franco (El);Viviendas con cosumo entre 8.001 y 9.000 kwh;23
33023 Franco (El);Viviendas con cosumo entre 9.001 y 10.000 kwh;12
33023 Franco (El);Viviendas con consumo mayor de 10.000 kwh;45
33024 Gijón *;Viviendas totales;148.955
33024 Gijón *;Viviendas vacías;8.307
33024 Gijón *;Mediana consumo anual;1.835
33024 Gijón *;Viviendas con bajo consumo;4.998
33024 Gijón *;Viviendas de uso esporádico;15.533
33024 Gijón *;Viviendas de uso esporádico (entre 251 y 500 kwh);7.120
33024 Gijón *;Viviendas de uso esporádico (entre 501 y 750 kwh);8.413
33024 Gijón *;Viviendas con cosumo entre 751 y 1.000 kwh;10.508
33024 Gijón *;Viviendas con cosumo entre 1.001 y 2.000 kwh;49.232
33024 Gijón *;Viviendas con cosumo entre 2.001 y 3.000 kwh;30.688
33024 Gijón *;Viviendas con cosumo entre 3.001 y 4.000 kwh;13.343
33024 Gijón *;Viviendas con cosumo entre 4.001 y 5.000 kwh;6.646
33024 Gijón *;Viviendas con cosumo entre 5.001 y 6.000 kwh;3.684
33024 Gijón *;Viviendas con cosumo entre 6.001 y 7.000 kwh;2.173
33024 Gijón *;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.237
33024 Gijón *;Viviendas con cosumo entre 8.001 y 9.000 kwh;787
33024 Gijón *;Viviendas con cosumo entre 9.001 y 10.000 kwh;520
33024 Gijón *;Viviendas con consumo mayor de 10.000 kwh;1.299
33025 Gozón;Viviendas totales;8.860
33025 Gozón;Viviendas vacías;826
33025 Gozón;Mediana consumo anual;1.659
33025 Gozón;Viviendas con bajo consumo;584
33025 Gozón;Viviendas de uso esporádico;1.737
33025 Gozón;Viviendas de uso esporádico (entre 251 y 500 kwh);961
33025 Gozón;Viviendas de uso esporádico (entre 501 y 750 kwh);776
33025 Gozón;Viviendas con cosumo entre 751 y 1.000 kwh;655
33025 Gozón;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.914
33025 Gozón;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.269
33025 Gozón;Viviendas con cosumo entre 3.001 y 4.000 kwh;746
33025 Gozón;Viviendas con cosumo entre 4.001 y 5.000 kwh;426
33025 Gozón;Viviendas con cosumo entre 5.001 y 6.000 kwh;249
33025 Gozón;Viviendas con cosumo entre 6.001 y 7.000 kwh;157
33025 Gozón;Viviendas con cosumo entre 7.001 y 8.000 kwh;89
33025 Gozón;Viviendas con cosumo entre 8.001 y 9.000 kwh;64
33025 Gozón;Viviendas con cosumo entre 9.001 y 10.000 kwh;46
33025 Gozón;Viviendas con consumo mayor de 10.000 kwh;98
33026 Grado;Viviendas totales;7.818
33026 Grado;Viviendas vacías;1.874
33026 Grado;Mediana consumo anual;1.993
33026 Grado;Viviendas con bajo consumo;352
33026 Grado;Viviendas de uso esporádico;877
33026 Grado;Viviendas de uso esporádico (entre 251 y 500 kwh);482
33026 Grado;Viviendas de uso esporádico (entre 501 y 750 kwh);395
33026 Grado;Viviendas con cosumo entre 751 y 1.000 kwh;367
33026 Grado;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.561
33026 Grado;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.099
33026 Grado;Viviendas con cosumo entre 3.001 y 4.000 kwh;652
33026 Grado;Viviendas con cosumo entre 4.001 y 5.000 kwh;346
33026 Grado;Viviendas con cosumo entre 5.001 y 6.000 kwh;227
33026 Grado;Viviendas con cosumo entre 6.001 y 7.000 kwh;153
33026 Grado;Viviendas con cosumo entre 7.001 y 8.000 kwh;98
33026 Grado;Viviendas con cosumo entre 8.001 y 9.000 kwh;58
33026 Grado;Viviendas con cosumo entre 9.001 y 10.000 kwh;40
33026 Grado;Viviendas con consumo mayor de 10.000 kwh;114
33028 Ibias;Viviendas totales;1.555
33028 Ibias;Viviendas vacías;666
33028 Ibias;Mediana consumo anual;1.347
33028 Ibias;Viviendas con bajo consumo;129
33028 Ibias;Viviendas de uso esporádico;204
33028 Ibias;Viviendas de uso esporádico (entre 251 y 500 kwh);122
33028 Ibias;Viviendas de uso esporádico (entre 501 y 750 kwh);82
33028 Ibias;Viviendas con cosumo entre 751 y 1.000 kwh;71
33028 Ibias;Viviendas con cosumo entre 1.001 y 2.000 kwh;243
33028 Ibias;Viviendas con cosumo entre 2.001 y 3.000 kwh;141
33028 Ibias;Viviendas con cosumo entre 3.001 y 4.000 kwh;48
33028 Ibias;Viviendas con cosumo entre 4.001 y 5.000 kwh;29
33028 Ibias;Viviendas con cosumo entre 5.001 y 6.000 kwh;9
33028 Ibias;Viviendas con cosumo entre 6.001 y 7.000 kwh;4
33028 Ibias;Viviendas con cosumo entre 7.001 y 8.000 kwh;4
33028 Ibias;Viviendas con cosumo entre 8.001 y 9.000 kwh;0
33028 Ibias;Viviendas con cosumo entre 9.001 y 10.000 kwh;0
33028 Ibias;Viviendas con consumo mayor de 10.000 kwh;7
33030 Illas;Viviendas totales;662
33030 Illas;Viviendas vacías;121
33030 Illas;Mediana consumo anual;2.490
33030 Illas;Viviendas con bajo consumo;24
33030 Illas;Viviendas de uso esporádico;64
33030 Illas;Viviendas de uso esporádico (entre 251 y 500 kwh);36
33030 Illas;Viviendas de uso esporádico (entre 501 y 750 kwh);28
33030 Illas;Viviendas con cosumo entre 751 y 1.000 kwh;25
33030 Illas;Viviendas con cosumo entre 1.001 y 2.000 kwh;104
33030 Illas;Viviendas con cosumo entre 2.001 y 3.000 kwh;116
33030 Illas;Viviendas con cosumo entre 3.001 y 4.000 kwh;90
33030 Illas;Viviendas con cosumo entre 4.001 y 5.000 kwh;52
33030 Illas;Viviendas con cosumo entre 5.001 y 6.000 kwh;23
33030 Illas;Viviendas con cosumo entre 6.001 y 7.000 kwh;13
33030 Illas;Viviendas con cosumo entre 7.001 y 8.000 kwh;6
33030 Illas;Viviendas con cosumo entre 8.001 y 9.000 kwh;9
33030 Illas;Viviendas con cosumo entre 9.001 y 10.000 kwh;4
33030 Illas;Viviendas con consumo mayor de 10.000 kwh;11
33031 Langreo;Viviendas totales;25.962
33031 Langreo;Viviendas vacías;4.745
33031 Langreo;Mediana consumo anual;1.877
33031 Langreo;Viviendas con bajo consumo;963
33031 Langreo;Viviendas de uso esporádico;2.469
33031 Langreo;Viviendas de uso esporádico (entre 251 y 500 kwh);1.178
33031 Langreo;Viviendas de uso esporádico (entre 501 y 750 kwh);1.291
33031 Langreo;Viviendas con cosumo entre 751 y 1.000 kwh;1.457
33031 Langreo;Viviendas con cosumo entre 1.001 y 2.000 kwh;6.938
33031 Langreo;Viviendas con cosumo entre 2.001 y 3.000 kwh;4.374
33031 Langreo;Viviendas con cosumo entre 3.001 y 4.000 kwh;2.087
33031 Langreo;Viviendas con cosumo entre 4.001 y 5.000 kwh;1.016
33031 Langreo;Viviendas con cosumo entre 5.001 y 6.000 kwh;586
33031 Langreo;Viviendas con cosumo entre 6.001 y 7.000 kwh;411
33031 Langreo;Viviendas con cosumo entre 7.001 y 8.000 kwh;294
33031 Langreo;Viviendas con cosumo entre 8.001 y 9.000 kwh;183
33031 Langreo;Viviendas con cosumo entre 9.001 y 10.000 kwh;133
33031 Langreo;Viviendas con consumo mayor de 10.000 kwh;306
33032 Laviana;Viviendas totales;9.681
33032 Laviana;Viviendas vacías;1.685
33032 Laviana;Mediana consumo anual;1.768
33032 Laviana;Viviendas con bajo consumo;543
33032 Laviana;Viviendas de uso esporádico;1.161
33032 Laviana;Viviendas de uso esporádico (entre 251 y 500 kwh);556
33032 Laviana;Viviendas de uso esporádico (entre 501 y 750 kwh);605
33032 Laviana;Viviendas con cosumo entre 751 y 1.000 kwh;594
33032 Laviana;Viviendas con cosumo entre 1.001 y 2.000 kwh;2.533
33032 Laviana;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.608
33032 Laviana;Viviendas con cosumo entre 3.001 y 4.000 kwh;740
33032 Laviana;Viviendas con cosumo entre 4.001 y 5.000 kwh;310
33032 Laviana;Viviendas con cosumo entre 5.001 y 6.000 kwh;152
33032 Laviana;Viviendas con cosumo entre 6.001 y 7.000 kwh;99
33032 Laviana;Viviendas con cosumo entre 7.001 y 8.000 kwh;85
33032 Laviana;Viviendas con cosumo entre 8.001 y 9.000 kwh;48
33032 Laviana;Viviendas con cosumo entre 9.001 y 10.000 kwh;38
33032 Laviana;Viviendas con consumo mayor de 10.000 kwh;85
33033 Lena;Viviendas totales;8.156
33033 Lena;Viviendas vacías;1.508
33033 Lena;Mediana consumo anual;1.657
33033 Lena;Viviendas con bajo consumo;468
33033 Lena;Viviendas de uso esporádico;1.077
33033 Lena;Viviendas de uso esporádico (entre 251 y 500 kwh);545
33033 Lena;Viviendas de uso esporádico (entre 501 y 750 kwh);532
33033 Lena;Viviendas con cosumo entre 751 y 1.000 kwh;552
33033 Lena;Viviendas con cosumo entre 1.001 y 2.000 kwh;2.130
33033 Lena;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.333
33033 Lena;Viviendas con cosumo entre 3.001 y 4.000 kwh;531
33033 Lena;Viviendas con cosumo entre 4.001 y 5.000 kwh;223
33033 Lena;Viviendas con cosumo entre 5.001 y 6.000 kwh;108
33033 Lena;Viviendas con cosumo entre 6.001 y 7.000 kwh;75
33033 Lena;Viviendas con cosumo entre 7.001 y 8.000 kwh;42
33033 Lena;Viviendas con cosumo entre 8.001 y 9.000 kwh;31
33033 Lena;Viviendas con cosumo entre 9.001 y 10.000 kwh;16
33033 Lena;Viviendas con consumo mayor de 10.000 kwh;62
33034 Valdés;Viviendas totales;9.163
33034 Valdés;Viviendas vacías;2.169
33034 Valdés;Mediana consumo anual;1.906
33034 Valdés;Viviendas con bajo consumo;519
33034 Valdés;Viviendas de uso esporádico;1.233
33034 Valdés;Viviendas de uso esporádico (entre 251 y 500 kwh);697
33034 Valdés;Viviendas de uso esporádico (entre 501 y 750 kwh);536
33034 Valdés;Viviendas con cosumo entre 751 y 1.000 kwh;472
33034 Valdés;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.667
33034 Valdés;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.232
33034 Valdés;Viviendas con cosumo entre 3.001 y 4.000 kwh;702
33034 Valdés;Viviendas con cosumo entre 4.001 y 5.000 kwh;445
33034 Valdés;Viviendas con cosumo entre 5.001 y 6.000 kwh;246
33034 Valdés;Viviendas con cosumo entre 6.001 y 7.000 kwh;145
33034 Valdés;Viviendas con cosumo entre 7.001 y 8.000 kwh;100
33034 Valdés;Viviendas con cosumo entre 8.001 y 9.000 kwh;63
33034 Valdés;Viviendas con cosumo entre 9.001 y 10.000 kwh;38
33034 Valdés;Viviendas con consumo mayor de 10.000 kwh;132
33035 Llanera;Viviendas totales;7.371
33035 Llanera;Viviendas vacías;724
33035 Llanera;Mediana consumo anual;2.363
33035 Llanera;Viviendas con bajo consumo;180
33035 Llanera;Viviendas de uso esporádico;587
33035 Llanera;Viviendas de uso esporádico (entre 251 y 500 kwh);305
33035 Llanera;Viviendas de uso esporádico (entre 501 y 750 kwh);282
33035 Llanera;Viviendas con cosumo entre 751 y 1.000 kwh;308
