Comunidades Autónomas, Provincias y Municipios;Consumo eléctrico;Total
04035 Cuevas del Almanzora;Viviendas con cosumo entre 751 y 1.000 kwh;500
04035 Cuevas del Almanzora;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.730
04035 Cuevas del Almanzora;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.439
04035 Cuevas del Almanzora;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.014
04035 Cuevas del Almanzora;Viviendas con cosumo entre 4.001 y 5.000 kwh;657
04035 Cuevas del Almanzora;Viviendas con cosumo entre 5.001 y 6.000 kwh;271
04035 Cuevas del Almanzora;Viviendas con cosumo entre 6.001 y 7.000 kwh;192
04035 Cuevas del Almanzora;Viviendas con cosumo entre 7.001 y 8.000 kwh;97
04035 Cuevas del Almanzora;Viviendas con cosumo entre 8.001 y 9.000 kwh;51
04035 Cuevas del Almanzora;Viviendas con cosumo entre 9.001 y 10.000 kwh;42
04035 Cuevas del Almanzora;Viviendas con consumo mayor de 10.000 kwh;110
04037 Chirivel;Viviendas totales;1.477
04037 Chirivel;Viviendas vacías;582
04037 Chirivel;Mediana consumo anual;2.142
04037 Chirivel;Viviendas con bajo consumo;85
04037 Chirivel;Viviendas de uso esporádico;148
04037 Chirivel;Viviendas de uso esporádico (entre 251 y 500 kwh);89
04037 Chirivel;Viviendas de uso esporádico (entre 501 y 750 kwh);59
04037 Chirivel;Viviendas con cosumo entre 751 y 1.000 kwh;55
04037 Chirivel;Viviendas con cosumo entre 1.001 y 2.000 kwh;170
04037 Chirivel;Viviendas con cosumo entre 2.001 y 3.000 kwh;146
04037 Chirivel;Viviendas con cosumo entre 3.001 y 4.000 kwh;107
04037 Chirivel;Viviendas con cosumo entre 4.001 y 5.000 kwh;76
04037 Chirivel;Viviendas con cosumo entre 5.001 y 6.000 kwh;33
04037 Chirivel;Viviendas con cosumo entre 6.001 y 7.000 kwh;19
04037 Chirivel;Viviendas con cosumo entre 7.001 y 8.000 kwh;13
04037 Chirivel;Viviendas con cosumo entre 8.001 y 9.000 kwh;9
04037 Chirivel;Viviendas con cosumo entre 9.001 y 10.000 kwh;8
04037 Chirivel;Viviendas con consumo mayor de 10.000 kwh;26
04038 Dalías;Viviendas totales;2.190
04038 Dalías;Viviendas vacías;262
04038 Dalías;Mediana consumo anual;2.284
04038 Dalías;Viviendas con bajo consumo;70
04038 Dalías;Viviendas de uso esporádico;257
04038 Dalías;Viviendas de uso esporádico (entre 251 y 500 kwh);131
04038 Dalías;Viviendas de uso esporádico (entre 501 y 750 kwh);126
04038 Dalías;Viviendas con cosumo entre 751 y 1.000 kwh;112
04038 Dalías;Viviendas con cosumo entre 1.001 y 2.000 kwh;446
04038 Dalías;Viviendas con cosumo entre 2.001 y 3.000 kwh;417
04038 Dalías;Viviendas con cosumo entre 3.001 y 4.000 kwh;282
04038 Dalías;Viviendas con cosumo entre 4.001 y 5.000 kwh;158
04038 Dalías;Viviendas con cosumo entre 5.001 y 6.000 kwh;88
04038 Dalías;Viviendas con cosumo entre 6.001 y 7.000 kwh;43
04038 Dalías;Viviendas con cosumo entre 7.001 y 8.000 kwh;17
04038 Dalías;Viviendas con cosumo entre 8.001 y 9.000 kwh;12
04038 Dalías;Viviendas con cosumo entre 9.001 y 10.000 kwh;5
04038 Dalías;Viviendas con consumo mayor de 10.000 kwh;21
04044 Fines;Viviendas totales;1.217
04044 Fines;Viviendas vacías;208
04044 Fines;Mediana consumo anual;2.454
04044 Fines;Viviendas con bajo consumo;47
04044 Fines;Viviendas de uso esporádico;115
04044 Fines;Viviendas de uso esporádico (entre 251 y 500 kwh);52
04044 Fines;Viviendas de uso esporádico (entre 501 y 750 kwh);63
04044 Fines;Viviendas con cosumo entre 751 y 1.000 kwh;42
04044 Fines;Viviendas con cosumo entre 1.001 y 2.000 kwh;214
04044 Fines;Viviendas con cosumo entre 2.001 y 3.000 kwh;226
04044 Fines;Viviendas con cosumo entre 3.001 y 4.000 kwh;145
04044 Fines;Viviendas con cosumo entre 4.001 y 5.000 kwh;91
04044 Fines;Viviendas con cosumo entre 5.001 y 6.000 kwh;52
04044 Fines;Viviendas con cosumo entre 6.001 y 7.000 kwh;23
04044 Fines;Viviendas con cosumo entre 7.001 y 8.000 kwh;17
04044 Fines;Viviendas con cosumo entre 8.001 y 9.000 kwh;7
04044 Fines;Viviendas con cosumo entre 9.001 y 10.000 kwh;3
04044 Fines;Viviendas con consumo mayor de 10.000 kwh;27
04045 Fiñana;Viviendas totales;1.580
04045 Fiñana;Viviendas vacías;422
04045 Fiñana;Mediana consumo anual;1.905
04045 Fiñana;Viviendas con bajo consumo;99
04045 Fiñana;Viviendas de uso esporádico;220
04045 Fiñana;Viviendas de uso esporádico (entre 251 y 500 kwh);99
